time;input;xPos;yPos;zPos;Bearing
4806568;Connect;50;50;0;0
4807017;StartRrNavigation;50;50;0;0
4807817;TakeOff;50;50;0;0
4808401;Unknown;50;50;0;0
4816917;MoveForward;50;50.275;80;1
4818805;Unknown;50;50.275;70;1
4818907;Unknown;50.005;50.575;70;1
4819009;Unknown;50.01;50.875;70;1
4819111;Unknown;50.017;51.275;70;1
4819213;Unknown;50.024;51.675;70;1
4819315;Unknown;50.033;52.175;70;1
4819417;Unknown;50.042;52.675;70;1
4819520;Unknown;50.051;53.175;70;1
4819621;Unknown;50.059;53.675;70;1
4819723;Unknown;50.076;54.632;70;1
4819825;Unknown;50.087;55.232;70;1
4819936;Unknown;50.103;56.155;70;1
4820029;Unknown;49.748;57.391;70;1
4820080;Unknown;49.758;57.991;70;1
4820182;Unknown;49.772;58.756;70;1
4820284;Unknown;49.782;59.356;70;1
4820386;Unknown;49.792;59.956;70;1
4820487;Unknown;49.805;60.656;70;1
4820590;Unknown;49.822;61.648;70;1
4820694;Unknown;49.842;62.781;70;1
4820720;Stop;49.854;63.481;70;1
4820794;Unknown;49.854;63.481;70;1
4820898;Unknown;49.873;64.547;70;1
4820998;Unknown;49.542;65.748;70;1
4821203;Unknown;49.559;66.748;70;1
4821303;Unknown;49.574;67.57;70;1
4821321;MoveRight;49.583;68.07;70;1
4821405;Unknown;49.583;68.07;70;1
4821508;Unknown;49.589;68.47;80;1
4821609;Unknown;49.596;68.87;80;1
4821711;Unknown;49.257;69.752;80;1
4821813;Unknown;49.262;70.052;80;1
4821915;Unknown;49.401;70.318;70;1
4822018;Unknown;49.689;70.596;80;1
4822120;Unknown;50.109;70.866;80;1
4822221;Unknown;50.491;70.986;80;1
4822323;Unknown;50.978;71.099;80;1
4822425;Unknown;51.465;71.211;70;1
4822522;Stop;52.056;71.319;70;1
4822528;Unknown;52.056;71.319;70;1
4822578;Unknown;52.555;71.31;70;1
4822731;Unknown;53.055;71.302;70;1
4822783;Unknown;53.655;71.291;70;1
4822884;Unknown;54.255;71.281;70;1
4822986;Unknown;54.755;71.272;70;1
4823190;Unknown;55.255;71.263;70;1
4823292;Unknown;55.655;71.256;70;1
4823322;MoveBackward;55.955;71.251;70;1
4823395;Unknown;55.955;71.251;70;1
4823497;Unknown;56.255;71.246;70;1
4824006;Unknown;56.555;71.241;70;1
4824108;Unknown;56.684;70.97;70;1
4824210;Unknown;56.804;70.588;70;1
4824313;Unknown;56.794;69.982;70;1
4824323;Stop;56.787;69.583;70;1
4824414;Unknown;56.787;69.583;70;1
4824516;Unknown;56.78;69.183;70;1
4824618;Unknown;56.771;68.683;70;1
4824720;Unknown;56.762;68.183;60;1
4824822;Unknown;56.751;67.507;60;1
4824924;Unknown;56.343;66.956;60;1
4825026;Unknown;56.332;66.351;60;1
4825123;MoveRight;56.327;66.051;60;1
4825128;Unknown;56.327;66.051;60;1
4826324;Stop;56.322;65.751;60;1
4826352;Unknown;56.322;65.751;60;1
4826454;Unknown;56.621;65.745;60;1
4826556;Unknown;56.921;65.74;50;1
4826607;Unknown;57.221;65.735;50;1
4826760;Unknown;57.521;65.73;40;1
4826924;MoveBackward;57.762;64.986;30;1
4827525;Unknown;57.762;64.986;0;1
4828325;Stop;57.521;64.854;0;1
4828341;Unknown;57.521;64.854;0;2
4828545;AbortRrNavigation;57.5;64.253;0;2
