time;input;xPos;yPos;zPos;Bearing
1434648;Connect;50;50;0;0
1435288;StartRrNavigation;50;50;0;358
1436288;TakeOff;50;50;0;358
1437272;Unknown;50;50;0;357
1443291;MoveForward;49.657;49.982;70;357
1444717;Unknown;49.657;49.982;60;357
1444819;Unknown;49.626;50.587;60;357
1444920;Unknown;49.605;50.987;60;357
1445023;Unknown;49.584;51.386;60;357
1445124;Unknown;49.563;51.786;60;357
1445226;Unknown;49.537;52.285;60;357
1445328;Unknown;49.51;52.784;60;357
1445432;Unknown;49.484;53.284;60;357
1445532;Unknown;49.453;53.883;60;357
1445634;Unknown;49.421;54.482;70;357
1445736;Unknown;49.372;55.427;70;357
1445840;Unknown;49.319;56.444;70;357
1445941;Unknown;49.272;57.342;70;357
1446144;Unknown;49.24;57.941;70;357
1446248;Unknown;49.182;59.049;70;357
1446348;Unknown;49.151;59.648;70;357
1446451;Unknown;49.097;60.667;70;357
1446552;Unknown;49.061;61.366;70;357
1446655;Unknown;49.024;62.065;70;357
1446756;Unknown;48.987;62.764;70;357
1446858;Unknown;48.935;63.769;70;357
1446960;Unknown;48.898;64.468;70;357
1446960;AbortRrNavigation;48.861;65.167;70;357
