time;input;xPos;yPos;zPos
051205638;Connect;50;50;0
051207089;TakeOff;50;50;0
051215838;Rise;50;48;150
051218441;Stop;51;48;190
051219442;MoveForward;51;49;210
051221843;Stop;54;65;210
051224244;MoveRight;54;77;200
051225044;Stop;57;77;190
051226445;MoveBackward;61;77;200
051228446;Stop;60;70;200
051229647;MoveRight;60;65;210
051230847;Stop;64;61;200
051232248;MoveBackward;71;59;200
051233650;Stop;72;53;200
051234850;MoveLeft;68;47;200
051237451;Stop;51;46;200
051238252;Land;47;46;200
051243571;StopRecordRepeatNavigationRecording;45;46;0
