time;input;xPos;yPos;zPos;Bearing
5930078;Connect;50;50;0;0
5932710;TakeOff;50;50;0;47
5936023;Unknown;50;50;90;47
5941532;MoveForward;48;48;100;47
5942756;Unknown;48;48;100;47
5942858;Unknown;47;49;100;47
5942960;Unknown;47;52;100;47
5943063;Unknown;46;55;100;47
5943165;Unknown;46;59;100;47
5943267;Unknown;45;64;100;47
5943369;Unknown;45;70;100;47
5943471;Unknown;45;76;100;47
5943573;Unknown;44;82;100;47
5943675;Unknown;43;89;100;47
5943777;Unknown;43;90;100;47
5943879;Unknown;43;90;100;47
5943981;Unknown;43;90;100;47
5944083;Unknown;43;90;100;47
5944186;Unknown;43;90;100;47
5944287;Unknown;43;90;100;47
5944335;Stop;43;90;100;47
5944389;Unknown;43;90;100;47
5944491;Unknown;43;90;100;47
5944542;Unknown;43;90;100;47
5944644;Unknown;43;90;100;47
5944746;Unknown;43;90;100;47
5944848;Unknown;43;90;100;47
5944950;Unknown;43;90;100;47
5945103;Unknown;43;90;100;47
5945154;Unknown;43;90;100;47
5945256;Unknown;43;90;100;47
5945358;Unknown;43;90;100;47
5945460;Unknown;43;90;100;47
5945562;Unknown;43;90;100;47
5945664;Unknown;43;90;100;47
5945766;Unknown;43;90;100;47
5946537;Land;43;90;100;47
5948418;Unknown;43;90;60;50
5948673;Unknown;43;90;50;47
5948775;Unknown;43;90;40;47
5948877;Unknown;43;90;40;47
5948979;Unknown;43;90;30;47
5949081;Unknown;43;90;30;47
5949437;MoveLeft;43;90;10;47
5949438;MoveLeft;43;90;10;47
5949439;MoveLeft;43;90;10;47
5949439;MoveLeft;43;90;10;47
5949439;MoveLeft;43;90;10;47
5949439;MoveLeft;43;90;10;47
5949439;MoveLeft;43;90;10;47
5949439;MoveLeft;43;90;10;47
5949439;MoveLeft;43;90;10;47
5949439;MoveLeft;43;90;10;47
5949439;MoveLeft;43;90;10;47
5949693;Unknown;43;90;0;55
5950040;StopRecordRepeatNavigationRecording;43;90;0;55
