time;input;xPos;yPos;zPos
054637240;Connect;50;50;0
054639252;TakeOff;50;50;0
054651257;MoveForward;47;51;50
054653659;Stop;47;58;60
054656660;Rise;46;63;60
054658261;Stop;46;65;100
054659462;MoveRight;46;65;110
054700662;Stop;49;65;110
054703064;Sink;54;64;110
054704064;Stop;54;64;100
054705265;MoveBackward;54;64;70
054707266;Stop;54;53;80
054708666;MoveRight;54;48;70
054709467;Stop;55;48;70
054710868;MoveBackward;60;49;70
054712469;Stop;59;45;70
054713669;MoveLeft;58;39;80
054716270;Stop;43;38;80
054718871;MoveForward;33;36;80
054719471;Stop;33;37;70
054721272;Land;33;40;70
054725874;StopRecordRepeatNavigationRecording;32;40;0
