time;input
11-06-41-641;W
11-06-41-641;W
11-06-41-641;W
11-06-41-641;W
11-06-42-642;D
11-06-42-642;A
11-06-42-642;S
11-06-43-643;D
11-06-43-643;A
11-06-44-644;W
11-06-45-645;D
11-06-45-645;A
11-06-45-645;S
11-06-45-645;S
11-06-45-645;S
11-06-46-646;S
11-06-47-647;W
11-06-48-648;D
11-06-49-649;Delete
