time;input;xPos;yPos;zPos;Bearing
024211396;Connect;50;50;0;0
024212209;TakeOff;50;50;0;0
024212631;Unknown;50;50;0;0
024213243;Unknown;50;50;0;0
024214059;Unknown;50;50;40;0
024215640;Unknown;48;50;60;0
024216456;Unknown;48;50;60;0
024222289;MoveForward;48;50;50;0
024224360;Unknown;48;50;50;0
024224462;Unknown;48;50;50;0
024224564;Unknown;48;50;50;0
024224666;Unknown;48;51;50;0
024224718;Unknown;48;51;50;0
024224819;Unknown;48;51;50;0
024224921;Unknown;48;51;50;0
024225023;Unknown;48;51;50;0
024225134;Unknown;48;52;50;0
024225227;Unknown;48;52;50;0
024225329;Unknown;48;52;50;0
024225431;Unknown;48;53;50;0
024225534;Unknown;48;53;50;0
024225635;Unknown;48;53;60;0
024225737;Unknown;48;54;60;0
024225839;Unknown;48;54;60;0
024225941;Unknown;48;54;60;0
024226043;Unknown;48;55;60;0
024226145;Unknown;48;55;50;0
024226247;Unknown;48;55;50;0
024226292;Stop;48;56;50;0
024226350;Unknown;48;56;50;0
024226451;Unknown;48;56;50;0
024226553;Unknown;48;56;50;0
024226656;Unknown;48;57;50;0
024226693;MoveRight;48;57;50;0
024226757;Unknown;48;57;50;0
024226860;Unknown;48;57;50;0
024226962;Unknown;48;58;50;0
024227063;Unknown;48;58;50;0
024227165;Unknown;48;58;50;0
024227267;Unknown;48;58;50;0
024227369;Unknown;48;58;50;0
024227471;Unknown;48;59;50;0
024227573;Unknown;48;59;50;0
024227675;Unknown;49;59;50;0
024227777;Unknown;49;59;50;0
024227879;Unknown;49;59;50;0
024227981;Unknown;49;59;50;0
024228083;Unknown;50;59;50;0
024228185;Unknown;50;59;50;0
024228287;Unknown;50;59;50;0
024228294;Stop;51;59;50;0
024228338;Unknown;51;59;50;0
024228440;Unknown;51;59;50;0
024228593;Unknown;51;59;60;0
024228644;Unknown;52;59;60;0
024228746;Unknown;52;59;60;0
024228848;Unknown;52;59;60;0
024228950;Unknown;52;59;50;0
024229052;Unknown;53;59;50;0
024229094;MoveBackward;53;59;60;0
024229155;Unknown;53;59;60;0
024229256;Unknown;53;59;50;0
024229358;Unknown;53;59;50;0
024229664;Unknown;53;59;50;0
024229766;Unknown;53;59;50;0
024229868;Unknown;54;59;50;0
024229970;Unknown;54;59;50;0
024230072;Unknown;54;59;50;0
024230174;Unknown;54;58;50;0
024230276;Unknown;54;58;50;0
024230378;Unknown;54;58;50;0
024230480;Unknown;54;58;50;0
024230582;Unknown;54;57;50;0
024230684;Unknown;54;57;50;0
024230786;Unknown;54;57;50;0
024230888;Unknown;54;57;50;0
024230990;Unknown;54;56;50;0
024231092;Unknown;54;56;50;0
024231194;Unknown;54;56;50;0
024231296;Unknown;54;55;50;0
024231398;Unknown;54;55;50;0
024231500;Unknown;54;55;50;0
024231603;Unknown;53;54;50;0
024231695;Stop;53;54;50;0
024231704;Unknown;53;54;50;0
024231806;Unknown;53;53;50;0
024231908;Unknown;53;53;50;0
024232010;Unknown;53;53;50;0
024232112;Unknown;53;52;50;0
024232163;Unknown;53;52;50;0
024232265;Unknown;53;52;50;0
024232296;MoveLeft;53;52;50;0
024232367;Unknown;53;52;50;0
024232469;Unknown;53;51;50;0
024232622;Unknown;53;51;50;0
024232673;Unknown;53;51;50;0
024232775;Unknown;53;51;50;0
024232877;Unknown;53;51;50;0
024232979;Unknown;53;51;50;0
024233081;Unknown;52;50;50;0
024233183;Unknown;52;50;50;0
024233285;Unknown;52;50;50;0
024233387;Unknown;52;50;50;0
024233489;Unknown;51;50;50;0
024233592;Unknown;51;50;50;0
024233693;Unknown;51;50;50;0
024233796;Unknown;51;50;50;0
024233897;Stop;50;50;50;0
024233897;Unknown;50;50;50;0
024233999;Unknown;50;50;50;0
024234102;Unknown;50;50;50;0
024234204;Unknown;49;50;50;0
024234305;Unknown;49;50;50;0
024234409;Unknown;49;50;50;0
024234509;Unknown;49;50;50;0
024234614;Unknown;48;50;50;0
024234714;Unknown;48;50;50;0
024234815;Unknown;48;50;50;0
024234917;Unknown;48;50;50;0
024235097;Land;48;50;50;0
024235325;Unknown;48;50;50;0
024235529;Unknown;47;50;50;0
024236141;Unknown;47;50;50;0
024236294;Unknown;47;50;40;0
024237110;Unknown;47;50;0;0
024237212;Unknown;47;49;0;0
024237314;Unknown;47;49;0;0
024237518;Unknown;47;49;0;0
024238028;Unknown;47;50;-20;0
024238130;Unknown;47;51;-20;0
024238232;Unknown;47;51;-20;0
024238334;Unknown;47;50;-10;0
024238436;Unknown;47;50;-10;1
024238538;Unknown;47;50;-10;1
024238640;Unknown;47;50;-10;1
024238742;Unknown;47;49;-10;1
024238844;Unknown;47;49;-10;1
024238894;StopRecordRepeatNavigationRecording;47;49;-10;1
