time;input;xPos;yPos;zPos;Bearing
4716430;StartRrNavigation;50;50;0;0
4717229;TakeOff;50;50;0;0
4726424;MoveForward;50;50;60;1
4728573;Unknown;50;50;60;1
4728674;Unknown;50.008;50.475;60;1
4728776;Unknown;50.014;50.775;60;1
4728878;Unknown;50.019;51.075;60;1
4728981;Unknown;50.026;51.475;60;1
4729184;Unknown;50.042;52.387;60;1
4729286;Unknown;50.056;53.193;60;1
4729394;Unknown;50.07;54.012;60;1
4729490;Unknown;50.087;54.99;60;1
4729592;Unknown;50.098;55.59;60;1
4729694;Unknown;50.116;56.669;70;1
4729796;Unknown;50.127;57.269;70;1
4729907;Unknown;50.143;58.165;70;1
4730000;Unknown;49.779;59.372;70;1
4730204;Unknown;49.791;60.072;60;1
4730228;Stop;49.803;60.772;60;1
4730255;Unknown;49.803;60.772;60;1
4730357;Unknown;49.816;61.472;60;1
4730459;Unknown;49.828;62.172;60;1
4730612;Unknown;49.846;63.208;60;1
4730714;Unknown;49.865;64.321;60;1
4730816;Unknown;49.457;65.138;60;1
4730828;MoveRight;49.471;65.947;60;1
4730868;Unknown;49.471;65.947;60;1
4730969;Unknown;49.48;66.447;60;1
4731173;Unknown;49.491;67.099;60;1
4731377;Unknown;49.496;67.399;50;1
4731479;Unknown;49.635;67.665;50;1
4731581;Unknown;49.923;67.943;50;1
4731684;Unknown;50.194;68.072;50;1
4731785;Unknown;50.575;68.192;50;1
4731829;Stop;51.062;68.305;50;1
4731887;Unknown;51.062;68.305;50;1
4731990;Unknown;51.549;68.418;50;1
4732091;Unknown;52.037;68.53;50;1
4732193;Unknown;52.537;68.522;50;1
4732295;Unknown;53.036;68.513;60;1
4732397;Unknown;53.436;68.506;60;1
4732499;Unknown;53.836;68.499;60;1
4732606;Unknown;54.136;68.494;60;1
4732630;MoveBackward;54.436;68.488;60;1
4732703;Unknown;54.436;68.488;60;1
4733315;Unknown;54.736;68.483;60;1
4733417;Unknown;54.866;68.213;60;1
4733519;Unknown;54.986;67.831;60;1
4733622;Unknown;54.98;67.531;60;1
4733631;Stop;54.972;67.031;60;1
4733723;Unknown;54.972;67.031;60;1
4733825;Unknown;54.956;66.158;60;1
4733927;Unknown;54.948;65.658;60;1
4734029;Unknown;54.939;65.158;60;1
4734131;Unknown;54.93;64.658;60;1
4734233;Unknown;54.918;63.931;60;1
4734283;Unknown;54.906;63.264;60;1
4734386;Unknown;54.901;62.964;60;1
4734487;Unknown;54.889;62.307;60;1
4734631;MoveRight;54.884;62.007;60;1
4735303;Unknown;54.884;62.007;60;1
4735405;Unknown;55.184;62.002;60;1
4735507;Unknown;55.484;61.996;60;1
4735609;Unknown;55.884;61.989;60;1
4735711;Unknown;56.284;61.983;60;1
4735813;Unknown;56.784;61.974;60;1
4735832;Stop;57.284;61.965;60;1
4735916;Unknown;57.284;61.965;60;1
4736018;Unknown;57.784;61.956;60;1
4736124;Unknown;58.284;61.948;60;1
4736223;Unknown;58.783;61.939;60;1
4736325;Unknown;59.283;61.93;60;1
4736427;Unknown;59.683;61.923;60;1
4736433;MoveBackward;60.43;61.91;60;1
4736527;Unknown;60.43;61.91;60;1
4736632;Unknown;60.73;61.905;60;1
4736732;Unknown;61.03;61.9;60;1
4737241;Unknown;61.33;61.894;50;1
4737344;Unknown;61.459;61.624;50;1
4737547;Unknown;61.589;61.353;40;1
4737633;Stop;61.58;60.85;30;1
4737751;Unknown;61.58;60.85;30;1
4737956;Unknown;61.575;60.55;20;1
4738034;MoveLeft;61.57;60.25;10;1
4738720;Unknown;61.57;60.25;-10;5
4738822;Unknown;61.922;60.22;0;4
4738925;Unknown;61.962;60.8;0;5
4739435;AbortRrNavigation;62.003;61.261;0;4
