time;input;xPos;yPos;zPos;Bearing
1241215;StartRrNavigation;50;50;0;0
1242014;TakeOff;50;50;0;0
1243925;Unknown;50;50;60;1
1244537;Unknown;49.696;50.005;70;1
1251158;MoveForward;49.692;49.74;80;1
1252645;Unknown;49.692;49.74;80;1
1252755;Unknown;49.697;50.04;80;1
1252849;Unknown;49.293;50.607;80;1
1252951;Unknown;49.3;51.007;80;1
1253053;Unknown;49.309;51.506;80;1
1253155;Unknown;49.317;52.006;80;1
1253257;Unknown;49.326;52.506;80;1
1253359;Unknown;49.336;53.106;80;1
1253461;Unknown;49.353;54.063;80;1
1253567;Unknown;49.364;54.663;80;1
1253665;Unknown;49.374;55.263;80;1
1253767;Unknown;49.391;56.227;80;1
1253869;Unknown;49.41;57.325;80;1
1253971;Unknown;49.427;58.321;80;1
1254175;Unknown;49.446;59.367;80;1
1254277;Unknown;49.458;60.067;80;1
1254380;Unknown;49.47;60.767;80;1
1254481;Unknown;49.482;61.467;80;1
1254583;Unknown;49.501;62.51;80;1
1254685;Unknown;49.513;63.21;80;1
1254787;Unknown;49.533;64.348;80;1
1254787;AbortRrNavigation;49.545;65.048;80;1
