time;input;xPos;yPos;zPos;Bearing
5256036;Connect;50;50;0;0
5256695;StartRrNavigation;50;50;0;1
5257496;TakeOff;50;50;0;1
5257982;Unknown;50;50;0;0
5306600;MoveForward;50;49.703;60;1
5307977;Unknown;50;49.703;60;1
5308081;Unknown;50.005;50.003;60;1
5308181;Unknown;50.01;50.303;60;1
5308283;Unknown;50.017;50.703;60;1
5308385;Unknown;50.024;51.103;60;1
5308487;Unknown;50.033;51.603;60;1
5308589;Unknown;50.042;52.103;60;1
5308691;Unknown;50.051;52.603;60;1
5308793;Unknown;50.059;53.102;60;1
5308941;Unknown;50.068;53.602;60;1
5309000;Unknown;50.079;54.202;60;1
5309099;Unknown;50.093;55.017;60;1
5309210;Unknown;50.103;55.617;60;1
5309310;Unknown;49.752;56.419;60;1
5309405;Unknown;49.763;57.019;60;1
5309506;Unknown;49.78;57.989;60;1
5309609;Unknown;49.79;58.589;60;1
5309710;Unknown;49.801;59.189;60;1
5309813;Unknown;49.816;60.054;60;1
5309915;Unknown;49.826;60.654;60;1
5310016;Unknown;49.842;61.58;60;1
5310118;Unknown;49.853;62.18;60;1
5310221;Unknown;49.868;63.035;60;1
5310325;Unknown;49.527;64.145;60;1
5310325;AbortRrNavigation;49.538;64.745;60;1
