time;input;xPos;yPos;zPos
054023033;Connect;50;50;0
054024077;TakeOff;50;50;0
054033618;MoveForward;50;49;80
054036821;Stop;50;60;80
054039023;MoveRight;51;71;80
054039624;Stop;51;71;70
054040424;MoveBackward;55;71;70
054042625;Stop;55;63;70
054044026;MoveRight;55;57;70
054044826;Stop;56;57;70
054046827;MoveBackward;65;57;80
054049229;Stop;64;51;80
054050230;MoveLeft;64;47;80
054053431;Stop;45;43;80
054054831;MoveLeft;42;43;90
054055832;Stop;40;43;80
054057232;Land;36;43;90
054102890;StopRecordRepeatNavigationRecording;35;53;0
