time;input;xPos;yPos;zPos
051605439;Connect;50;50;0
051606654;TakeOff;50;50;0
051614634;Rise;48;47;60
051616836;Stop;46;47;100
051618437;MoveForward;54;47;110
051620839;Stop;54;63;110
051623040;MoveRight;57;74;120
051624040;Stop;60;74;110
051626841;MoveBackward;68;74;110
051629442;Stop;69;63;120
051631843;MoveRight;70;53;120
051633044;Stop;72;52;120
051634845;MoveBackward;80;55;120
051636646;Stop;80;51;110
051638447;MoveLeft;79;40;120
051640848;Stop;65;41;120
051644849;Land;52;42;120
051651718;StopRecordRepeatNavigationRecording;56;42;0
