time;input;xPos;yPos;zPos;Bearing
5750872;Connect;50;50;0;0
5751125;TakeOff;50;50;0;0
5751997;Unknown;50;50;0;0
5753118;Unknown;50;49;60;0
5759849;MoveForward;50;49;80;0
5801787;Unknown;50;49;80;0
5801992;Unknown;50;50;80;0
5802093;Unknown;50;50;70;0
5802195;Unknown;50;50;70;0
5802297;Unknown;50;50;70;0
5802399;Unknown;50;50;70;0
5802501;Unknown;50;50;70;0
5802608;Unknown;50;50;70;0
5802705;Unknown;50;50;70;0
5802807;Unknown;50;50;70;0
5802909;Unknown;50;50;70;0
5803011;Unknown;50;50;70;0
5803113;Unknown;50;51;70;0
5803215;Unknown;50;51;80;0
5803317;Unknown;50;51;80;0
5803429;Unknown;50;51;80;0
5803452;Stop;49;51;80;0
5803521;Unknown;49;51;80;0
5803623;Unknown;49;51;80;0
5803725;Unknown;49;51;80;0
5803827;Unknown;49;51;80;0
5803929;Unknown;49;51;80;0
5804031;Unknown;49;52;80;0
5804133;Unknown;49;52;80;0
5804235;Unknown;49;52;80;0
5804338;Unknown;49;52;80;0
5804439;Unknown;49;52;80;0
5804490;Unknown;49;52;80;0
5804654;Land;49;52;80;0
5806122;Unknown;49;52;50;0
5807346;Unknown;49;52;0;0
5807601;Unknown;49;52;0;359
5807703;Unknown;49;52;0;359
5807746;StopRecordRepeatNavigationRecording;49;53;0;359
