time;input;xPos;yPos;zPos
040001780;Connect;50;50;0
040003012;TakeOff;50;50;0
040010643;MoveForward;50;51;70
040012845;Stop;48;55;70
040015246;RotateClockwise;50;67;70
040017848;Stop;50;67;70
040018248;MoveForward;50;67;60
040020449;Stop;47;71;60
040022450;Land;39;71;60
040026321;StopRecordRepeatNavigationRecording;42;69;0
