time;input
11-06-02;W
11-06-02;W
11-06-02;W
11-06-02;W
11-06-03;A
11-06-03;S
11-06-04;D
11-06-04;D
11-06-04;D
11-06-04;Spacebar
11-06-06;Spacebar
11-06-06;Spacebar
11-06-09;Delete
